Seq1: 0001110000110011011011101010100100110000000100101011111100100000111110100111101111000101110011101100011010110010110100001010001, Seq2: 0100011110000000111000100111010110100000101010111101001000011000110101001100111110010010100010111001101110111111011011001011000, CCR: 17
Seq1: 0001110000110011011011101010100100110000000100101011111100100000111110100111101111000101110011101100011010110010110100001010001, Seq2: 0111100100110111110000111010010100111101110110001000010111001100101100111000110101010001010110110100000001100000100100011111101, CCR: 17
Seq1: 0001110000110011011011101010100100110000000100101011111100100000111110100111101111000101110011101100011010110010110100001010001, Seq2: 0011110000100000101001010110010011000100100010110110100111000110111101000111110010111111011000000011101010100001100110101110111, CCR: 41
Seq1: 0001110000110011011011101010100100110000000100101011111100100000111110100111101111000101110011101100011010110010110100001010001, Seq2: 0010001001000010111010011010000011101111110011001001110001100010100011110110011111010101001011011010110000110111001010111100000, CCR: 17
Seq1: 0001110000110011011011101010100100110000000100101011111100100000111110100111101111000101110011101100011010110010110100001010001, Seq2: 0110011010101000000011111101111100111101011100001101110100110001010110000010111100011101101100100101001000010011100101101000100, CCR: 17
Seq1: 0001110000110011011011101010100100110000000100101011111100100000111110100111101111000101110011101100011010110010110100001010001, Seq2: 0010111010100011111100001001100111011011000110000011011111011100101010110010010110101111010011110011010000000101001000100001110, CCR: 17
Seq1: 0001110000110011011011101010100100110000000100101011111100100000111110100111101111000101110011101100011010110010110100001010001, Seq2: 0100010010001100100110101001010000010000111100111011101011001100001010101110000000110111111010011111000101111011000111001011011, CCR: 17
Seq1: 0001110000110011011011101010100100110000000100101011111100100000111110100111101111000101110011101100011010110010110100001010001, Seq2: 0000100000001101101111001111110100100111010111110001001011000011110110010001011101110010100110001100110100001010110101010001110, CCR: 41
Seq1: 0001110000110011011011101010100100110000000100101011111100100000111110100111101111000101110011101100011010110010110100001010001, Seq2: 0100001100010000000100110100111001100100101110000011110001110101100111111001010001011010101001000110111101110110110000101011111, CCR: 41
Seq1: 0001110000110011011011101010100100110000000100101011111100100000111110100111101111000101110011101100011010110010110100001010001, Seq2: 0010111101011010010011010101001110111110110000011000110110111001100100001111110001010111010001110000100010010100000001011001111, CCR: 17
Seq1: 0001110000110011011011101010100100110000000100101011111100100000111110100111101111000101110011101100011010110010110100001010001, Seq2: 0011001010011101110100010011011110000110100100011111010111001001011111100111101101100000001000001110001010101101010000101100110, CCR: 17
Seq1: 0001110000110011011011101010100100110000000100101011111100100000111110100111101111000101110011101100011010110010110100001010001, Seq2: 0011010100011001011101100001110101111001111101111110000000101010110011000100010110100111001000010010100100110110111000111101000, CCR: 17
Seq1: 0001110000110011011011101010100100110000000100101011111100100000111110100111101111000101110011101100011010110010110100001010001, Seq2: 0101010000010110101110010001110000000111100010000110100110110111111011101100111010001010010011111001100101011000110000100101111, CCR: 41
