[power_x0: 154, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 152, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 163, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
[power_x0: 176, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 186, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 160, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 163, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 166, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 174, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
[power_x0: 175, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 177, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
[power_x0: 178, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 181, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 183, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 180, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 185, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 190, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 193, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 199, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
[power_x0: 198, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 204, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 205, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 202, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 212, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 216, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 214, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 210, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 191, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 203, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 204, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 214, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
[power_x0: 222, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 227, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 228, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 230, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
[power_x0: 243, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 247, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 253, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
[power_x0: 254, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 227, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 219, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
[power_x0: 229, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 232, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 241, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 248, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 252, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
[power_x0: 253, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 8, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 10, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 20, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 22, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 25, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 29, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 8, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 2, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 5, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
