Seq1: 1111001110000001011001001010, Seq2: 1101100001001111011000010011, CCR: 14
Seq1: 1111001110000001011001001010, Seq2: 1110011110101001001101000000, CCR: 20
Seq1: 1111001110000001011001001010, Seq2: 1010001101000110100011010001, CCR: 14
Seq1: 1111001110000001011001001010, Seq2: 1101111001000011011110010000, CCR: 10
Seq1: 1111001110000001011001001010, Seq2: 1101110111011101110111011101, CCR: 4
Seq1: 1111001110000001011001001010, Seq2: 1011000101100010110001011000, CCR: 10
Seq1: 1111001110000001011001001010, Seq2: 1010101010101010101010101010, CCR: 2
Seq1: 1111001110000001011001001010, Seq2: 0110001111110100110110101000, CCR: 28
Seq1: 1111001110000001011001001010, Seq2: 0101110010111001011100101110, CCR: 14
Seq1: 1111001110000001011001001010, Seq2: 0011000010101101100101111110, CCR: 20
Seq1: 1111001110000001011001001010, Seq2: 0100111010011101001110100111, CCR: 10
Seq1: 1111001110000001011001001010, Seq2: 0100010001000100010001000100, CCR: 4
Seq1: 1111001110000001011001001010, Seq2: 0000000000000000000000000000, CCR: 2
Seq1: 1101100001001111011000010011, Seq2: 1110011110101001001101000000, CCR: 10
Seq1: 1101100001001111011000010011, Seq2: 1010001101000110100011010001, CCR: 0
Seq1: 1101100001001111011000010011, Seq2: 1101111001000011011110010000, CCR: 20
Seq1: 1101100001001111011000010011, Seq2: 1101110111011101110111011101, CCR: 2
Seq1: 1101100001001111011000010011, Seq2: 1011000101100010110001011000, CCR: 0
Seq1: 1101100001001111011000010011, Seq2: 1010101010101010101010101010, CCR: 4
Seq1: 1101100001001111011000010011, Seq2: 0110001111110100110110101000, CCR: 14
Seq1: 1101100001001111011000010011, Seq2: 0101110010111001011100101110, CCR: 0
Seq1: 1101100001001111011000010011, Seq2: 0011000010101101100101111110, CCR: 10
Seq1: 1101100001001111011000010011, Seq2: 0100111010011101001110100111, CCR: 0
Seq1: 1101100001001111011000010011, Seq2: 0100010001000100010001000100, CCR: 2
Seq1: 1101100001001111011000010011, Seq2: 0000000000000000000000000000, CCR: 0
Seq1: 1110011110101001001101000000, Seq2: 1010001101000110100011010001, CCR: 10
Seq1: 1110011110101001001101000000, Seq2: 1101111001000011011110010000, CCR: 14
Seq1: 1110011110101001001101000000, Seq2: 1101110111011101110111011101, CCR: 4
Seq1: 1110011110101001001101000000, Seq2: 1011000101100010110001011000, CCR: 14
Seq1: 1110011110101001001101000000, Seq2: 1010101010101010101010101010, CCR: 2
Seq1: 1110011110101001001101000000, Seq2: 0110001111110100110110101000, CCR: 20
Seq1: 1110011110101001001101000000, Seq2: 0101110010111001011100101110, CCR: 10
Seq1: 1110011110101001001101000000, Seq2: 0011000010101101100101111110, CCR: 28
Seq1: 1110011110101001001101000000, Seq2: 0100111010011101001110100111, CCR: 14
Seq1: 1110011110101001001101000000, Seq2: 0100010001000100010001000100, CCR: 4
Seq1: 1110011110101001001101000000, Seq2: 0000000000000000000000000000, CCR: 2
Seq1: 1010001101000110100011010001, Seq2: 1101111001000011011110010000, CCR: 0
Seq1: 1010001101000110100011010001, Seq2: 1101110111011101110111011101, CCR: 2
Seq1: 1010001101000110100011010001, Seq2: 1011000101100010110001011000, CCR: 20
Seq1: 1010001101000110100011010001, Seq2: 1010101010101010101010101010, CCR: 0
Seq1: 1010001101000110100011010001, Seq2: 0110001111110100110110101000, CCR: 14
Seq1: 1010001101000110100011010001, Seq2: 0101110010111001011100101110, CCR: 28
Seq1: 1010001101000110100011010001, Seq2: 0011000010101101100101111110, CCR: 10
Seq1: 1010001101000110100011010001, Seq2: 0100111010011101001110100111, CCR: 20
Seq1: 1010001101000110100011010001, Seq2: 0100010001000100010001000100, CCR: 2
Seq1: 1010001101000110100011010001, Seq2: 0000000000000000000000000000, CCR: 4
Seq1: 1101111001000011011110010000, Seq2: 1101110111011101110111011101, CCR: 2
Seq1: 1101111001000011011110010000, Seq2: 1011000101100010110001011000, CCR: 0
Seq1: 1101111001000011011110010000, Seq2: 1010101010101010101010101010, CCR: 4
Seq1: 1101111001000011011110010000, Seq2: 0110001111110100110110101000, CCR: 10
Seq1: 1101111001000011011110010000, Seq2: 0101110010111001011100101110, CCR: 0
Seq1: 1101111001000011011110010000, Seq2: 0011000010101101100101111110, CCR: 14
Seq1: 1101111001000011011110010000, Seq2: 0100111010011101001110100111, CCR: 0
Seq1: 1101111001000011011110010000, Seq2: 0100010001000100010001000100, CCR: 2
Seq1: 1101111001000011011110010000, Seq2: 0000000000000000000000000000, CCR: 0
Seq1: 1101110111011101110111011101, Seq2: 1011000101100010110001011000, CCR: 2
Seq1: 1101110111011101110111011101, Seq2: 1010101010101010101010101010, CCR: 14
Seq1: 1101110111011101110111011101, Seq2: 0110001111110100110110101000, CCR: 4
Seq1: 1101110111011101110111011101, Seq2: 0101110010111001011100101110, CCR: 2
Seq1: 1101110111011101110111011101, Seq2: 0011000010101101100101111110, CCR: 4
